rt	~	0.03868887694787748
@user_44285fcc	@	1
:	~	0.03367365215833781
i	O	0.053224489795918366
see	V	0.0034936844934157483
u	O	0.010285714285714285
bron	^	0.0003305238803503553
...	,	0.013866820742452693
31	$	0.0005661445555765239
right	R	0.0022448627180107063
quick	A	0.00034100596760443307
@user_a887f5eb	@	1
am	V	0.002015587207739855
secure	A	0.00034100596760443307
.	,	0.06760075111945689
@user_1d9aecf2	@	1
hahaaha	!	0.0003641660597232338
!!	,	0.008088978766430738
dont	V	0.0018812147272238647
care	V	0.0008062348830959419
if	P	0.00777000777000777
she	O	0.0029387755102040815
realises	V	0.0002687449610319806
will	V	0.0032249395323837677
be	V	0.008465466272507391
like	P	0.006526806526806527
shut	V	0.0005374899220639613
up	T	0.007135969141755062
teacher	N	0.0005550929780738274
and	&	0.025342594330767788
go	V	0.003628056973931739
do	V	0.004568664337543671
your	D	0.006396588486140725
work	N	0.0013877324451845685
hehe	!	0.0005462490895848507
then	R	0.0025902262130892764
in	P	0.018648018648018648
trouble	N	0.00041631973355537054
getting	V	1
insulation	N	0.0002775464890369137
put	V	0.002015587207739855
attic	N	0.0002775464890369137
today	N	0.0020815986677768525
they	O	0.005714285714285714
was	V	0.006181134103735555
sposed	A	0.00034100596760443307
2	P	0.001554001554001554
here	R	0.0032809532032464167
at	P	0.010567210567210567
7:30	$	0.0003774297037176826
am	N	0.0005550929780738274
,	,	0.034811497905532285
but	&	0.00694574807584006
got	V	0.005374899220639613
8:30	$	0.0005661445555765239
!	,	0.03640040444893832
where	R	0.0027629079606285617
dat	D	0.0008200754469411186
?	,	0.01848909432327026
andrew	^	0.0003305238803503553
mcnulty	^	0.0003305238803503553
passes	V	0.0002687449610319806
to	P	0.04024864024864025
connor	^	0.0003305238803503553
alberhasky	^	0.0003305238803503553
for	P	0.020046620046620046
a	D	0.03378710841397409
29	$	0.0005661445555765239
yard	N	0.0005550929780738274
gain	N	0.0002775464890369137
city	^	0.0004957858205255329
high	^	0.0003305238803503553
on	P	0.015384615384615385
the	D	0.048384451369525995
line	N	0.00041631973355537054
#listen	#	1
#canada	#	1
#1	$	0.0005661445555765239
:	,	0.014877943088256537
speak	V	0.0005374899220639613
now	R	0.006389224658953549
(	,	0.007366748519427994
deluxe	A	0.0005115089514066496
cd+dvd	N	0.00041631973355537054
):	,	0.00043333814820164666
)	,	0.006355626173624151
taylor	^	0.0003305238803503553
swift	^	0.0003305238803503553
performer	N	0.0002775464890369137
|	G	0.0024818633066055746
format	N	0.0002775464890369137
audio	N	0.0005550929780738274
...	~	0.011105140605409278
http://bit.ly/dkwm38	U	1
its	L	0.005433764287052651
#humpdayyy	N	0.0002775464890369137
oh	!	0.003641660597232338
..	,	0.006788964321825798
those	D	0.0006560603575528948
that	D	0.008692799737575857
are	V	0.007256113947863478
confused	A	0.0006820119352088661
rice	N	0.0002775464890369137
absorbs	V	0.0002687449610319806
water	N	0.0005550929780738274
from	P	0.006526806526806527
ur	D	0.0014761358044940135
phone	N	0.0015265056897030252
like	R	0.0008634087376964255
drys	V	0.0002687449610319806
